objectid,pid,title,display_template,object_location,image_small,image_thumb,archival_call_number,archival_collection,finding_aid_ark,physical_location,archival_series_title,folder_title,box,folder,contributing_institution,contributing_institution_valueURI,personal_creator,personal_creator_valueURI,corporate_creator,corporate_creator_valueURI,interviewee,interviewee_valueURI,interviewer,interviewer_valueURI,personal_contributor,personal_contributor_valueURI,corporate_contributor,corporate_contributor_valueURI,description,table_of_contents,annotation,url,language,subject,topical_subject_fast_valueURI,location,geographic_subject_fast_valueURI,topical_subject_lcsh,topical_subject_lcsh_valueURI,topical_subject_local,topical_subject_local_valueURI,geographic_subject_lcsh,geographic_subject_lcsh_valueURI,geographic_subject_local,geographic_subject_local_valueURI,geographic_subject_geonames,geographic_subject_geonames_valueURI,coordinates,personal_name_subject,personal_name_subject_valueURI,corporate_name_subject,corporate_name_subject_valueURI,birds_subject,birds_subject_valueURI,chronological_subject,event_subject,event_subject_valueURI,extent,aat_type,aat_type_valueURI,aat_genre,aat_genre_valueURI,dcmi_type,dcmi_type_valueURI,type_of_resource,imt_type,cco_description,rights_management,rights_management_valueURI,date_digital,location_interview,publisher,publisher_valueURI,ark,local_id,file_name,uid,avian_id,project_number,date_created,date_modified,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,related_exhibit,related_exhibit_url,hardware_software,disclaimer,image_manipulation,file_size,resolution,colorspace,bits_per_sample,samples_per_pixel,height,width,digital_origin,date,latitude,longitude,coord_explan
iawpa0335,WPA_b5f4i1,Photograph of people grading Lincoln Avenue in Council Bluffs,image,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f4i1_1~JP2~~isu_public/0,0,4957,3178/4962,3178/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f4i1_1~JP2~~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f4i1_1~JP2~~isu_public/full/500,/0/default.jpg",MS 260,United States. Work Projects Administration (Iowa) Photographs,https://n2t.net/ark:/87292/w91v07,,"Series 1, Projects by Location, 1935-1938, undated (alphabetical)","District 5. Pottawattamie County. Council Bluffs. Grading Lincoln Avenue. Project 18. (2 b/w photographs), 1935",5,4,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,United States. Works Progress Administration (Iowa),http://id.loc.gov/authorities/names/n88224755,,,,,,,,,,,,,eng,Streets--Maintenance and repair,http://id.worldcat.org/fast/1134809,Iowa--Council Bluffs,http://id.worldcat.org/fast/1224198,,,,,,,,,,,,,,,,,,1930s,,,1 photograph,photographic prints;black-and-white photographs,http://vocab.getty.edu/aat/300127104;http://vocab.getty.edu/aat/300128347,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,2021-02-12,,,,https://n2t.net/ark:/87292/w92b8vj1d,WPA_b5f4i1,,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,1935-12-09,,,
,WPA_b2f60i4_1,Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,,,,,,,,,WPA_b2f60i4_1,MS0260b002f060i007.tif,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
,WPA_b2f60i4_2,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,,,,,,,,,WPA_b2f60i4_2,MS0260b002f060i008.tif,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
iawpa0336,WPA_b5f4i2,Photograph of people grading Lincoln Avenue in Council Bluffs,image,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f4i2_1~JP2~~isu_public/0,0,4957,3178/4962,3178/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f4i2_1~JP2~~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f4i2_1~JP2~~isu_public/full/500,/0/default.jpg",MS 260,United States. Work Projects Administration (Iowa) Photographs,https://n2t.net/ark:/87292/w91v07,,"Series 1, Projects by Location, 1935-1938, undated (alphabetical)","District 5. Pottawattamie County. Council Bluffs. Grading Lincoln Avenue. Project 18. (2 b/w photographs), 1935",5,4,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,United States. Works Progress Administration (Iowa),http://id.loc.gov/authorities/names/n88224755,,,,,,,,,,,,,eng,Streets--Maintenance and repair,http://id.worldcat.org/fast/1134809,Iowa--Council Bluffs,http://id.worldcat.org/fast/1224198,,,,,,,,,,,,,,,,,,1930s,,,1 photograph,photographic prints;black-and-white photographs,http://vocab.getty.edu/aat/300127104;http://vocab.getty.edu/aat/300128347,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,2021-02-12,,,,https://n2t.net/ark:/87292/w9xk84w78,WPA_b5f4i2,,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,1935-12-10,,,
,WPA_b2f61i1_1,Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,,,,,,,,,WPA_b2f61i1_1,MS0260b002f061i001.tif,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
,WPA_b2f61i1_2,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,,,,,,,,,WPA_b2f61i1_2,MS0260b002f061i002.tif,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
iawpa0337,WPA_b5f5i1,Photograph of people paving Lawton Terrace in Council Bluffs,image,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f5i1_1~JP2~~isu_public/0,0,4957,3178/4962,3178/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f5i1_1~JP2~~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f5i1_1~JP2~~isu_public/full/500,/0/default.jpg",MS 260,United States. Work Projects Administration (Iowa) Photographs,https://n2t.net/ark:/87292/w91v07,,"Series 1, Projects by Location, 1935-1938, undated (alphabetical)","District 5. Pottawattamie County. Council Bluffs. Grading and Paving. Project 473. (4 b/w photographs), 1935",5,5,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,United States. Works Progress Administration (Iowa),http://id.loc.gov/authorities/names/n88224755,,,,,,,,,,,,,eng,Streets--Maintenance and repair,http://id.worldcat.org/fast/1134809,Iowa--Council Bluffs,http://id.worldcat.org/fast/1224198,,,,,,,,,,,,,,,,,,1930s,,,1 photograph,photographic prints;black-and-white photographs,http://vocab.getty.edu/aat/300127104;http://vocab.getty.edu/aat/300128347,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,2021-02-12,,,,https://n2t.net/ark:/87292/w9sx64g5c,WPA_b5f5i1,,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,1935-12-10,,,
,WPA_b2f61i2_1,Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,,,,,,,,,WPA_b2f61i2_1,MS0260b002f061i003.tif,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
,WPA_b2f61i2_2,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,,,,,,,,,WPA_b2f61i2_2,MS0260b002f061i004.tif,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
iawpa0338,WPA_b5f5i2,Photograph of people grading and paving Hazel Street in Council Bluffs,image,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f5i2_1~JP2~~isu_public/0,0,4957,3178/4962,3178/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f5i2_1~JP2~~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f5i2_1~JP2~~isu_public/full/500,/0/default.jpg",MS 260,United States. Work Projects Administration (Iowa) Photographs,https://n2t.net/ark:/87292/w91v07,,"Series 1, Projects by Location, 1935-1938, undated (alphabetical)","District 5. Pottawattamie County. Council Bluffs. Grading and Paving. Project 473. (4 b/w photographs), 1935",5,5,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,United States. Works Progress Administration (Iowa),http://id.loc.gov/authorities/names/n88224755,,,,,,,,,,,,,eng,Streets--Maintenance and repair,http://id.worldcat.org/fast/1134809,Iowa--Council Bluffs,http://id.worldcat.org/fast/1224198,,,,,,,,,,,,,,,,,,1930s,,,1 photograph,photographic prints;black-and-white photographs,http://vocab.getty.edu/aat/300127104;http://vocab.getty.edu/aat/300128347,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,2021-02-12,,,,https://n2t.net/ark:/87292/w9p55dp21,WPA_b5f5i2,,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,1935-12-09,,,
,WPA_b2f61i3_1,Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,,,,,,,,,WPA_b2f61i3_1,MS0260b002f061i005.tif,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
,WPA_b2f61i3_2,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,,,,,,,,,WPA_b2f61i3_2,MS0260b002f061i006.tif,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
iawpa0339,WPA_b5f5i3,Photograph of a paved street in Council Bluffs,image,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f5i3_1~JP2~~isu_public/0,0,4957,3178/4962,3178/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f5i3_1~JP2~~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f5i3_1~JP2~~isu_public/full/500,/0/default.jpg",MS 260,United States. Work Projects Administration (Iowa) Photographs,https://n2t.net/ark:/87292/w91v07,,"Series 1, Projects by Location, 1935-1938, undated (alphabetical)","District 5. Pottawattamie County. Council Bluffs. Grading and Paving. Project 473. (4 b/w photographs), 1935",5,5,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,United States. Works Progress Administration (Iowa),http://id.loc.gov/authorities/names/n88224755,,,,,,,,,,,,,eng,Streets--Maintenance and repair,http://id.worldcat.org/fast/1134809,Iowa--Council Bluffs,http://id.worldcat.org/fast/1224198,,,,,,,,,,,,,,,,,,1930s,,,1 photograph,photographic prints;black-and-white photographs,http://vocab.getty.edu/aat/300127104;http://vocab.getty.edu/aat/300128347,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,2021-02-12,,,,https://n2t.net/ark:/87292/w9jd4pv9r,WPA_b5f5i3,,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,1935-12-09,,,
,WPA_b2f61i4_1,Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,,,,,,,,,WPA_b2f61i4_1,MS0260b002f061i007.tif,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
,WPA_b2f61i4_2,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,,,,,,,,,WPA_b2f61i4_2,MS0260b002f061i008.tif,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
iawpa0340,WPA_b5f5i4,Photograph of people paving Minster Street in Council Bluffs,image,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f5i4_1~JP2~~isu_public/0,0,4957,3178/4962,3178/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f5i4_1~JP2~~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f5i4_1~JP2~~isu_public/full/500,/0/default.jpg",MS 260,United States. Work Projects Administration (Iowa) Photographs,https://n2t.net/ark:/87292/w91v07,,"Series 1, Projects by Location, 1935-1938, undated (alphabetical)","District 5. Pottawattamie County. Council Bluffs. Grading and Paving. Project 473. (4 b/w photographs), 1935",5,5,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,United States. Works Progress Administration (Iowa),http://id.loc.gov/authorities/names/n88224755,,,,,,,,,,,,,eng,Streets--Maintenance and repair,http://id.worldcat.org/fast/1134809,Iowa--Council Bluffs,http://id.worldcat.org/fast/1224198,,,,,,,,,,,,,,,,,,1930s,,,1 photograph,photographic prints;black-and-white photographs,http://vocab.getty.edu/aat/300127104;http://vocab.getty.edu/aat/300128347,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,2021-02-12,,,,https://n2t.net/ark:/87292/w9dn4024x,WPA_b5f5i4,,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,1935-12-11,,,
,WPA_b2f62i1_1,Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,,,,,,,,,WPA_b2f62i1_1,MS0260b002f062i001.tif,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
,WPA_b2f62i1_2,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,,,,,,,,,WPA_b2f62i1_2,MS0260b002f062i002.tif,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
iawpa0341,WPA_b5f6i1,Photograph of people inspecting a hill in Council Bluffs,image,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f6i1_1~JP2~~isu_public/0,0,4957,3178/4962,3178/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f6i1_1~JP2~~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f6i1_1~JP2~~isu_public/full/500,/0/default.jpg",MS 260,United States. Work Projects Administration (Iowa) Photographs,https://n2t.net/ark:/87292/w91v07,,"Series 1, Projects by Location, 1935-1938, undated (alphabetical)","District 5. Pottawattamie County. Council Bluffs. Hill Inspecting Projects. Project 1759. (4 b/w photographs), undated",5,6,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,United States. Works Progress Administration (Iowa),http://id.loc.gov/authorities/names/n88224755,,,,,,,,,,,,,eng,Earthwork,http://id.worldcat.org/fast/900943,Iowa--Council Bluffs,http://id.worldcat.org/fast/1224198,,,,,,,,,,,,,,,,,,1930s,,,1 photograph,photographic prints;black-and-white photographs,http://vocab.getty.edu/aat/300127104;http://vocab.getty.edu/aat/300128347,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,2021-02-12,,,,https://n2t.net/ark:/87292/w98w3879p,WPA_b5f6i1,,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
,WPA_b2f6i1_1,Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,,,,,,,,,WPA_b2f6i1_1,MS0260b002f006i001.tif,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
,WPA_b2f6i1_2,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,,,,,,,,,WPA_b2f6i1_2,MS0260b002f006i002.tif,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
iawpa0342,WPA_b5f6i2,Photograph of people inspecting a hill in Council Bluffs,image,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f6i2_1~JP2~~isu_public/0,0,4957,3178/4962,3178/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f6i2_1~JP2~~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f6i2_1~JP2~~isu_public/full/500,/0/default.jpg",MS 260,United States. Work Projects Administration (Iowa) Photographs,https://n2t.net/ark:/87292/w91v07,,"Series 1, Projects by Location, 1935-1938, undated (alphabetical)","District 5. Pottawattamie County. Council Bluffs. Hill Inspecting Projects. Project 1759. (4 b/w photographs), undated",5,6,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,United States. Works Progress Administration (Iowa),http://id.loc.gov/authorities/names/n88224755,,,,,,,,,,,,,eng,Earthwork,http://id.worldcat.org/fast/900943,Iowa--Council Bluffs,http://id.worldcat.org/fast/1224198,,,,,,,,,,,,,,,,,,1930s,,,1 photograph,photographic prints;black-and-white photographs,http://vocab.getty.edu/aat/300127104;http://vocab.getty.edu/aat/300128347,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,2021-02-12,,,,https://n2t.net/ark:/87292/w9542jf5v,WPA_b5f6i2,,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
,WPA_b2f7i1_1,Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,,,,,,,,,WPA_b2f7i1_1,MS0260b002f007i001.tif,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
,WPA_b2f7i1_2,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,,,,,,,,,WPA_b2f7i1_2,MS0260b002f007i002.tif,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
iawpa0343,WPA_b5f6i3,Photograph of people inspecting a hill in Council Bluffs,image,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f6i3_1~JP2~~isu_public/0,0,4957,3178/4962,3178/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f6i3_1~JP2~~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f6i3_1~JP2~~isu_public/full/500,/0/default.jpg",MS 260,United States. Work Projects Administration (Iowa) Photographs,https://n2t.net/ark:/87292/w91v07,,"Series 1, Projects by Location, 1935-1938, undated (alphabetical)","District 5. Pottawattamie County. Council Bluffs. Hill Inspecting Projects. Project 1759. (4 b/w photographs), undated",5,6,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,United States. Works Progress Administration (Iowa),http://id.loc.gov/authorities/names/n88224755,,,,,,,,,,,,,eng,Earthwork,http://id.worldcat.org/fast/900943,Iowa--Council Bluffs,http://id.worldcat.org/fast/1224198,,,,,,,,,,,,,,,,,,1930s,,,1 photograph,photographic prints;black-and-white photographs,http://vocab.getty.edu/aat/300127104;http://vocab.getty.edu/aat/300128347,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,2021-02-12,,,,https://n2t.net/ark:/87292/w91c1tn26,WPA_b5f6i3,,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
,WPA_b2f8i1_1,Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,,,,,,,,,WPA_b2f8i1_1,MS0260b002f008i001.tif,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
,WPA_b2f8i1_2,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,,,,,,,,,WPA_b2f8i1_2,MS0260b002f008i002.tif,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
iawpa0344,WPA_b5f6i4,Photograph of people inspecting a hill in Council Bluffs,image,"https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f6i4_1~JP2~~isu_public/0,0,4957,3178/4962,3178/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f6i4_1~JP2~~isu_public/full/800,/0/default.jpg","https://digitalcollections.lib.iastate.edu/iiif/2/isu:WPA_b5f6i4_1~JP2~~isu_public/full/500,/0/default.jpg",MS 260,United States. Work Projects Administration (Iowa) Photographs,https://n2t.net/ark:/87292/w91v07,,"Series 1, Projects by Location, 1935-1938, undated (alphabetical)","District 5. Pottawattamie County. Council Bluffs. Hill Inspecting Projects. Project 1759. (4 b/w photographs), undated",5,6,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,United States. Works Progress Administration (Iowa),http://id.loc.gov/authorities/names/n88224755,,,,,,,,,,,,,eng,Earthwork,http://id.worldcat.org/fast/900943,Iowa--Council Bluffs,http://id.worldcat.org/fast/1224198,,,,,,,,,,,,,,,,,,1930s,,,1 photograph,photographic prints;black-and-white photographs,http://vocab.getty.edu/aat/300127104;http://vocab.getty.edu/aat/300128347,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,2021-02-12,,,,https://n2t.net/ark:/87292/w9wp9tc8d,WPA_b5f6i4,,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
,WPA_b2f9i1_1,Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/tiff,,,,,,,,,WPA_b2f9i1_1,MS0260b002f009i001.tif,,,,2022-07,2024-03-05,,,,,WPA Iowa Photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,Epson Expression 12000XL,,,,,,,,,,reformatted digital,,,,
